rodada_id,partida_id,partida_data,clube_casa_id,clube_casa_nome,clube_casa_posicao,aproveitamento_mandante,clube_visitante_id,clube_visitante_nome,clube_visitante_posicao,aproveitamento_visitante,placar_oficial_mandante,placar_oficial_visitante,valida
6,302691,2023-05-13 18:30:00,266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",2,0,True
6,302693,2023-05-13 18:30:00,275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",1,1,True
6,302696,2023-05-13 21:00:00,282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",2,0,True
6,302692,2023-05-14 16:00:00,267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",277,Santos,14,"['d', 'd', 'd', 'v', 'd']",0,1,True
6,302694,2023-05-14 16:00:00,264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",1,1,True
6,302697,2023-05-14 16:00:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",0,0,True
6,302695,2023-05-14 18:30:00,290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",2,1,True
6,302698,2023-05-14 18:30:00,293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",3,2,True
6,302700,2023-05-14 18:30:00,327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",0,4,True
7,302719,2023-05-20 16:00:00,265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",1,1,True
7,302712,2023-05-20 18:30:00,263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",1,0,True
7,302713,2023-05-20 18:30:00,276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",4,2,True
7,302715,2023-05-20 18:30:00,280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",2,0,True
7,302718,2023-05-20 18:30:00,294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",1,2,True
7,302720,2023-05-20 18:30:00,327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",2,1,True
