apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,scout.CA,scout.DS,scout.FC,scout.FF,scout.FD,scout.FS,scout.I,scout.SG,scout.A,scout.G,scout.DE,scout.GS,scout.V,scout.PS,scout.FT,scout.PP,scout.DP,scout.CV,scout.PC,scout.GC
Bento,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png"">link</a>",7.0,1,293,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Xavier,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png"">link</a>",0.9,3,265,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Bidu,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png"">link</a>",3.7,2,264,True,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucero,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png"">link</a>",2.6,5,356,True,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Piton,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png"">link</a>",5.0,2,267,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roni,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_efGU5wq.png"">link</a>",1.1,4,264,True,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Navarro,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_D5UD7xu.png"">link</a>",0.6,5,275,True,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png"">link</a>",1.4,5,283,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Araújo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png"">link</a>",10.9,4,264,True,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rômulo,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_eEMPMPy.png"">link</a>",0.0,4,285,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png"">link</a>",4.1,4,285,True,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucão,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_uN4AYEQ.png"">link</a>",2.0,1,280,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Pec,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png"">link</a>",16.9,5,267,True,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Figueiredo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_YrswGSn.png"">link</a>",0.0,4,267,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Gomes,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wvinlkF.png"">link</a>",7.5,4,294,True,0.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Realpe,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png"">link</a>",-0.6,3,280,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caio Alexandre,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mYQOurq.png"">link</a>",2.8,4,356,True,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Santos,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_0B5pVnO.png"">link</a>",1.1,3,280,True,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Nestor,"<a href=""https://s.sde.globo.com/media/person_role/2022/03/01/70f9ba85a01525e2d77c787e7efb42f7_FORMATO.png"">link</a>",6.1,4,276,True,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natan,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/ebc6c140c001d68b3b50f27e354d27e2_FORMATO.png"">link</a>",4.1,3,280,True,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Ríos,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO_RowK2Zx.png"">link</a>",3.2,4,275,True,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michel Araújo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/30/photo_FORMATO_Z1W5SRZ.png"">link</a>",5.2,4,276,True,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rômulo,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_A5prVgV.png"">link</a>",0.9,5,293,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanderlan,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_F0bHOxR.png"">link</a>",7.0,2,275,True,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_VrJSWeV.png"">link</a>",7.1,4,266,True,0.0,3.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natanael,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_0XMnyZN.png"">link</a>",3.1,2,294,True,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,"<a href=""https://s.sde.globo.com/media/person_role/2022/09/30/photo_FORMATO.png"">link</a>",8.4,2,277,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chrystian Barletta,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/21/photo_FORMATO_A5fpusS.png"">link</a>",3.3,4,264,True,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriel,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_WyxMzh5.png"">link</a>",9.0,1,284,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Rosa,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_Z8v7YI8.png"">link</a>",0.0,4,265,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fausto Vera,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_w7tZlR4.png"">link</a>",6.6,4,264,True,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isidro Pitta,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LlMyePJ.png"">link</a>",0.5,5,1371,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galarza,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_G8IevUF.png"">link</a>",0.0,4,267,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Andrade,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_83YGYl5.png"">link</a>",2.4,5,293,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calebe,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_AhzCnT2.png"">link</a>",4.7,4,356,True,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Leonardo,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_eb1ett7.png"">link</a>",2.6,5,277,True,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Santos,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_jgSQJUl.png"">link</a>",11.8,4,267,True,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhoanner Chávez,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_bZ6JNlc.png"">link</a>",2.6,2,265,True,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matías Segovia,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/04/photo_FORMATO.png"">link</a>",1.2,4,263,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ângelo,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_CqBwl6X.png"">link</a>",1.0,5,277,True,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel Ferreira,"<a href=""https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png"">link</a>",6.25,6,275,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Pirani,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_ttN765r.png"">link</a>",5.6,4,266,True,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubens,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JV4BtfR.png"">link</a>",6.4,2,282,True,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Kennedy,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_ZAgi9kx.png"">link</a>",12.9,5,266,True,1.0,1.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renato Paiva,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_ZitX2Ik.png"">link</a>",4.76,6,265,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adson,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uzK3HTh.png"">link</a>",-0.3,4,264,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabinho,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_6TfTz4T.png"">link</a>",0.8,4,275,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_oUqfC4H.png"">link</a>",4.3,4,267,True,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlon Gomes,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_t23W3Dj.png"">link</a>",1.4,4,267,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur Sales,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_OzxQsVM.png"">link</a>",0.8,5,265,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Luciano,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_uDTKmM2.png"">link</a>",7.0,2,284,True,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayky,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ycDoFH2.png"">link</a>",0.0,5,265,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
